ticker,price
AFYA,21.175
AG,5.55
AGAE,0.9101
AGBA,0.3349
AGBAW,0.0152
AGCO,118.12
AGD,9.7095
AGE,13.95
AGEN,0.5731
AGFY,0.3899
AGI,13.63
AGIO,30.75
AGL,5.5675
AGM,191.64
AGM^C,25.2
AGM^D,24.47
AGM^E,24.09
AGM^F,22.1701
AGM^G,20.69
AGMH,1.9
AGNC,9.7977
AGNCL,24.0999
AGNCM,24.73
AGNCN,25.8206
AGNCO,24.83
AGNCP,23.82
AGO,92.04
AGR,35.91
AGRI,0.1655
AGRIW,0.0075
AGRO,10.57
AGRX,0.5726
AGS,8.95
AGTI,10.16
AGX,51.285
AGYS,83.07
AHCO,11.075
AHG,1.2
AHH,10.72
AHH^A,23.3
AHL^C,25.37
AHL^D,21.61
AHL^E,20.89
AHR,14.15
AHT,1.33
AHT^D,14.78
AHT^F,13.46
AHT^G,16.22
AHT^H,14.2
AHT^I,13.61
AI,28.7099
AIB,11.55
AIBBR,0.1188
AIF,14.88
AIG,76.86
AIH,0.3601
AIHS,0.98
AIM,0.416
AIMBU,11.11
AIMD,1.29
AIMDW,0.079
AIN,94.3
AINC,2.21
AIO,19.94
AIP,7.3
AIR,64.685
AIRC,31.79
AIRE,1.28
AIRG,5.21
AIRI,4.94
AIRJ,11.36
AIRJW,0.72
AIRS,6.03
AIRT,21.9
AIRTP,17.0
AISP,8.8399
AISPW,0.83
AIT,200.355
AITR,10.3
AITRR,0.1718
AITRU,10.42
AIU,0.799
AIV,7.725
AIXI,1.8695
AIZ,178.4846
AIZN,22.68
AJG,252.18
AJX,3.66
AJXA,25.3
AKA,9.94
AKAM,109.615
AKAN,0.2075
AKBA,2.025
AKLI,0.2802
AKO/A,12.288
AKO/B,15.75
AKR,17.07
AKRO,25.92
AKTS,0.61
AKTX,1.823
AKYA,5.1
AL,46.88
AL^A,25.79
ALAB,78.27
ALAR,22.65
ALB,126.315
ALB^A,56.96
ALBT,0.32
ALC,84.175
ALCC,10.75
ALCE,0.481
ALCO,29.25
ALCY,10.57
ALCYW,0.2157
ALDX,2.935
ALE,58.46
ALEC,6.3
ALEX,16.5
ALG,212.86
ALGM,28.02
ALGN,324.146
ALGS,0.9405
ALGT,72.84
ALHC,4.8388
ALIM,4.0
ALIT,10.15
ALK,39.48
ALKS,27.505
ALKT,24.6
ALL,162.085
ALL^B,26.25
ALL^H,23.9599
ALL^I,23.0
ALL^J,27.28
ALLE,135.2
ALLG,0.8833
ALLK,1.285
ALLO,4.355
ALLR,0.3455
ALLT,2.22
ALLY,40.7
ALNT,33.51
ALNY,146.24
ALOT,17.72
ALPN,42.74
ALPP,0.7
ALRM,74.24
ALRN,5.56
ALRS,21.55
ALSA,11.3
ALSAR,0.0919
ALSAW,0.0101
ALSN,78.22
ALT,9.165
ALTG,12.77
ALTG^A,26.2365
ALTI,6.13
ALTM,4.6899
ALTO,1.945
ALTR,86.665
ALUR,2.0
ALV,121.855
ALVO,15.04
ALVOW,4.3
ALVR,0.7568
ALX,217.19
ALXO,12.515
ALZN,1.04
AM,13.91
AMAL,23.75
AMAT,212.655
AMBA,51.15
AMBC,15.18
AMBI,5.63
AMBO,2.02
AMBP,3.455
AMC,4.21
AMCR,9.265
AMCX,12.55
AMD,180.3989
AME,185.5
AMED,92.28
AMG,163.68
AMGN,277.732
AMH,36.245
AMH^G,23.8668
AMH^H,24.52
AMIX,3.2499
AMK,36.215
AMKR,31.93
AMLI,0.6961
AMLX,2.9395
AMN,67.03
AMNB,47.11
AMP,436.15
AMPE,1.66
AMPG,1.88
AMPGW,0.14
AMPH,44.085
AMPL,11.63
AMPS,4.89
AMPX,3.06
AMPY,6.47
AMR,327.26
AMRC,20.78
AMRK,28.97
AMRN,0.8829
AMRX,6.205
AMS,2.6143
AMSC,13.13
AMSF,50.695
AMST,2.28
AMSWA,11.565
AMT,194.26
AMTB,22.71
AMTD,1.73
AMTX,4.7899
AMWD,102.1
AMWL,0.9
AMX,18.695
AMZN,179.3
AN,166.015
ANAB,24.42
ANDE,56.32
ANEB,2.4
ANET,304.13
ANF,138.65
ANGH,1.9
ANGHW,0.08
ANGI,2.66
ANGO,5.54
ANIK,25.575
ANIP,69.075
ANIX,3.8301
ANL,9.1
ANNX,6.045
ANRO,15.385
ANSC,10.17
ANSCU,10.2106
ANSS,350.69
ANTE,1.11
ANTX,3.2613
ANVS,12.03
ANY,1.4243
AOD,8.295
AOGO,10.77
AOMR,10.81
AON,327.22
AONC,5.9
AONCW,0.3
AORT,21.135
AOS,89.67
AOSL,22.43
AOUT,9.015
AP,2.48
APA,33.55
APAC,6.2998
APACU,7.17
APACW,0.0339
APAM,44.97
APCA,11.27
APCX,1.4499
APCXW,0.55
APD,236.96
APDN,0.4849
APEI,13.83
APG,38.96
APGE,67.71
APH,114.45
API,2.5
APLD,4.69
APLE,16.635
APLM,0.6
APLMW,0.0216
APLS,56.025
APLT,6.965
APM,7.79
APO,115.035
APO^A,65.35
APOG,60.05
APOS,26.8676
APP,72.55
APPF,232.24
APPN,39.01
APPS,2.78
APRE,5.95
APT,6.21
APTO,1.55
APTV,79.835
APVO,4.8
APWC,1.37
APXI,11.39
APXIW,0.065
APYX,1.365
AQB,2.1
AQMS,0.4801
AQN,6.06
AQNB,25.045
AQNU,20.79
AQST,4.385
AQU,10.85
AQUNR,0.1746
AR,26.815
ARAY,2.55
ARBB,1.3307
ARBE,2.505
ARBEW,0.2
ARBK,1.64
ARBKL,8.47
ARC,2.5913
ARCB,138.39
ARCC,19.985
ARCH,164.52
ARCO,11.25
ARCT,33.47
ARDC,14.0055
ARDX,7.985
ARE,126.84
AREB,0.304
AREBW,0.0108
AREC,1.51
AREN,1.305
ARES,137.41
ARGD,23.2599
ARGO^A,24.04
ARGX,408.37
ARHS,15.4
ARI,11.505
ARIS,13.675
ARKO,6.0
ARKOW,0.55
ARKR,14.06
ARL,17.65
ARLO,12.74
ARLP,19.985
ARM,134.33
ARMK,31.28
ARMN,3.43
ARMP,3.9013
AROC,19.59
AROW,24.82
ARQ,5.95
ARQQ,0.7401
ARQQW,0.2
ARQT,10.705
ARR,19.34
ARR^C,21.27
ARRW,9.4
ARRWU,11.1769
ARRWW,0.14
ARRY,14.24
ARTL,1.5001
ARTLW,0.03
ARTNA,35.65
ARTW,2.05
ARVN,43.46
ARW,122.02
ARWR,28.67
ARYD,11.25
AS,15.75
ASA,15.22
ASAI,14.95
ASAN,15.69
ASB,20.96
ASB^E,21.22
ASB^F,19.92
ASBA,23.0499
ASC,16.5
ASCA,10.0623
ASCAR,0.2
ASCAU,11.91
ASCAW,0.04
ASCB,11.14
ASCBW,0.0139
ASG,5.47
ASGI,17.68
ASGN,105.455
ASH,96.26
ASIX,27.18
ASLE,7.9
ASLN,0.7
ASM,0.5801
ASMB,12.28
ASML,1000.135
ASND,147.51
ASNS,1.0302
ASO,67.1101
ASPI,4.75
ASPN,15.74
ASPS,2.4799
ASR,303.895
ASRT,1.035
ASRV,2.72
ASST,0.6897
ASTC,8.75
ASTE,42.195
ASTH,41.0
ASTI,0.4099
ASTL,8.035
ASTLW,1.27
ASTR,0.6302
ASTS,2.7999
ASTSW,0.65
ASUR,8.415
ASX,11.46
ASXC,0.2819
ASYS,5.19
ATAI,1.66
ATAT,18.893
ATCH,1.6485
ATCO^D,24.701
ATCO^H,24.5101
ATCOL,24.52
ATEC,13.7925
ATEK,11.24
ATEN,13.905
ATER,0.2894
ATEX,34.775
ATGE,49.6
ATGL,3.51
ATH^A,24.51
ATH^B,22.34
ATH^C,25.24
ATH^D,19.0801
ATH^E,26.6957
ATHA,2.57
ATHE,1.75
ATHM,26.45
ATHS,25.48
ATI,48.69
ATIF,1.0
ATIP,6.11
ATKR,187.39
ATLC,31.0433
ATLCL,24.04
ATLCP,24.0501
ATLCZ,25.45
ATLO,21.01
ATLX,13.885
ATMC,10.92
ATMCR,0.1052
ATMCU,11.126
ATMCW,0.0185
ATMU,28.545
ATMV,10.91
ATMVR,0.0871
ATMVU,10.94
ATNF,3.4999
ATNFW,0.012
ATNI,31.82
ATNM,9.25
ATO,116.86
ATOM,6.55
ATOS,1.645
ATPC,0.366
ATR,140.54
ATRA,0.666
ATRC,30.1
ATRI,440.89
ATRO,18.83
ATS,37.205
ATSG,12.87
ATUS,2.625
ATXG,0.9394
ATXI,0.1573
ATXS,15.91
AU,21.08
AUB,34.82
AUB^A,23.8
AUBN,19.615
AUDC,13.4
AUGX,4.29
AUID,6.9
AULT,0.3673
AULT^D,23.42
AUMN,0.2938
AUPH,5.08
AUR,2.395
AURA,8.4
AUROW,0.1861
AUST,1.1177
AUTL,6.3
AUUD,2.27
AUUDW,0.04
AUVI,1.6514
AUVIP,7.11
AVA,34.0
AVAH,2.5599
AVAL,2.24
AVAV,149.785
AVB,183.51
AVBP,18.06
AVD,12.81
AVDL,16.92
AVDX,13.185
AVGO,1369.2
AVGR,2.942
AVHI,10.96
AVHIW,0.0202
AVIR,4.045
AVK,11.935
AVNS,19.495
AVNT,41.985
AVNW,36.99
AVO,11.9
AVPT,7.92
AVPTW,0.9406
AVRO,1.28
AVT,48.17
AVTE,26.405
AVTR,25.82
AVTX,4.575
AVXL,5.195
AVY,218.635
AWF,10.605
AWH,3.3
AWI,124.93
AWIN,0.0824
AWINW,0.0112
AWK,118.69
AWP,3.7954
AWR,71.82
AWRE,1.85
AWX,2.5501
AX,53.29
AXDX,0.9819
AXGN,7.68
AXIL,12.4525
AXL,7.305
AXNX,68.855
AXON,316.065
AXP,230.7
AXR,22.92
AXS,63.95
AXS^E,22.7
AXSM,79.83
AXTA,33.61
AXTI,5.446
AY,17.49
AYI,268.53
AYRO,1.6328
AYTU,2.94
AZ,0.6678
AZEK,50.13
AZN,66.61
AZO,3230.33
AZPN,201.58
AZTA,59.78
AZTR,0.226
AZUL,8.67
AZZ,81.355
B,37.03
BA,187.66
BABA,74.4
BAC,37.445
BAC^B,25.2
BAC^E,23.5999
BAC^K,25.21
BAC^L,1205.9999
BAC^M,23.87
BAC^N,22.6899
BAC^O,20.36
BAC^P,19.12
BAC^Q,19.47
BAC^S,21.86
BACA,10.3
BACK,1.34
BAER,5.4
BAERW,0.1975
BAFN,12.75
BAH,148.095
BAK,10.455
BALL,65.75
BALY,13.39
BAM,42.66
BANC,14.9
BANC^F,23.24
BAND,19.32
BANF,87.5
BANFP,25.8501
BANL,1.08
BANR,46.42
BANX,18.95
BAOS,3.36
BAP,178.33
BARK,1.34
BASE,27.845
BATL,5.77
BATRA,41.14
BATRK,38.245
BAX,41.635
BAYAR,0.11
BAYAU,10.3
BB,2.795
BBAI,2.1042
BBAR,8.375
BBCP,8.09
BBD,2.85
BBDC,9.13
BBDO,2.571
BBGI,0.84
BBIO,29.641
BBLG,2.2
BBLGW,21.0
BBN,16.35
BBSI,125.095
BBU,22.23
BBUC,24.05
BBVA,11.705
BBW,28.83
BBWI,48.59
BBY,80.39
BC,93.855
BC^A,25.47
BC^B,25.21
BC^C,25.61
BCAB,2.39
BCAL,14.81
BCAN,0.0199
BCAT,16.1299
BCBP,10.3
BCC,150.07
BCDA,0.4
BCDAW,0.0171
BCE,34.28
BCH,21.37
BCLI,0.471
BCML,20.705
BCO,87.37
BCOV,1.89
BCOW,6.9
BCPC,156.875
BCRX,5.615
BCS,9.3602
BCSA,11.03
BCSAU,10.97
BCSAW,0.037
BCSF,15.78
BCTX,2.29
BCTXW,1.2
BCV,15.66
BCV^A,23.8
BCX,9.0298
BCYC,25.76
BDC,93.19
BDJ,8.25
BDL,25.03
BDN,4.7
BDRX,1.0601
BDSX,1.42
BDTX,5.17
BDX,240.655
BE,9.8
BEAM,35.725
BEAT,2.3
BEATW,0.25
BECN,95.31
BEDU,2.05
BEEM,6.99
BEEMW,0.79
BEEP,3.52
BEKE,14.105
BELFA,71.47
BELFB,59.09
BEN,27.835
BENF,0.0713
BENFW,0.0096
BEP,22.425
BEP^A,18.9883
BEPC,23.7
BEPH,17.5
BEPI,18.18
BERY,59.13
BEST,2.1946
BETR,0.4929
BETRW,0.13
BF/A,53.31
BF/B,52.05
BFAC,11.02
BFAM,114.46
BFC,83.0675
BFH,38.12
BFI,0.59
BFIIW,0.0378
BFIN,10.45
BFK,10.33
BFLY,1.075
BFRG,3.7508
BFRGW,0.77
BFRI,1.26
BFRIW,0.0513
BFS,37.79
BFS^D,22.688
BFS^E,23.2665
BFST,22.24
BFZ,11.72
BG,99.615
BGB,11.865
BGC,8.225
BGFV,3.67
BGH,14.25
BGI,2.505
BGLC,0.7635
BGNE,164.8
BGR,12.969
BGS,11.32
BGSF,10.25
BGT,12.98
BGX,12.34
BGXX,0.2933
BGY,5.52
BH,202.0
BHAC,10.48
BHAT,1.07
BHB,25.44
BHC,9.47
BHE,29.36
BHF,48.59
BHFAL,23.48
BHFAM,16.65
BHFAN,20.22
BHFAO,25.065
BHFAP,24.48
BHIL,0.2122
BHK,10.69
BHLB,22.34
BHM,16.6381
BHP,57.97
BHR,1.965
BHR^B,13.67
BHR^D,19.0062
BHRB,54.65
BHV,11.065
BHVN,56.47
BIAF,2.03
BIAFW,0.761
BIDU,102.425
BIG,3.9
BIGC,7.51
BIGZ,8.065
BIIB,219.285
BILI,11.285
BILL,67.44
BIMI,1.95
BIO,348.28
BIO/B,332.2
BIOL,0.1461
BIOR,1.1701
BIOX,13.0
BIP,29.7251
BIP^A,19.34
BIP^B,18.65
BIPC,34.46
BIPH,19.225
BIPI,19.52
BIRD,0.729
BIRK,47.35
BIT,15.71
BITE,10.7
BITF,2.4554
BIVI,0.572
BJ,78.07
BJDX,0.8358
BJRI,35.86
BK,57.005
BKD,6.485
BKDT,91.66
BKE,39.37
BKH,52.05
BKHAU,10.14
BKKT,0.5811
BKN,12.29
BKNG,3636.9
BKR,33.9
BKSY,1.38
BKT,11.8181
BKTI,14.6339
BKU,27.05
BKYI,1.95
BL,63.9225
BLAC,10.67
BLACR,0.1499
BLACW,0.0151
BLBD,35.12
BLBX,2.68
BLCO,16.1042
BLD,439.875
BLDE,2.96
BLDEW,0.1298
BLDP,2.85
BLDR,211.6801
BLE,10.83
BLEU,10.68
BLEUR,0.0488
BLEUW,0.034
BLFS,17.865
BLFY,9.17
BLIN,1.06
BLK,841.325
BLKB,71.84
BLMN,27.71
BLND,3.15
BLNK,2.6045
BLRX,1.2001
BLTE,43.78
BLUA,10.83
BLUE,1.445
BLW,14.0298
BLX,29.3
BLZE,10.505
BMA,50.185
BMBL,10.84
BME,41.11
BMEA,17.15
BMEZ,16.265
BMI,159.73
BML^G,22.5686
BML^H,21.8
BML^J,22.88
BML^L,22.65
BMN,24.159
BMO,96.4701
BMR,6.47
BMRA,1.0685
BMRC,16.67
BMRN,84.73
BMTX,1.72
BMY,51.77
BN,42.71
BNAI,12.47
BNAIW,0.2198
BNED,0.5997
BNGO,1.0597
BNH,17.89
BNIX,11.16
BNIXR,0.1488
BNIXW,0.0196
BNJ,16.46
BNL,15.085
BNOX,0.9963
BNR,0.7
BNRE,42.68
BNRG,2.78
BNS,50.675
BNTC,5.55
BNTX,92.8
BNY,10.6
BNZI,0.6499
BNZIW,0.0185
BOC,16.69
BOCN,10.95
BODI,9.52
BOE,10.44
BOF,2.075
BOH,62.0
BOH^A,16.9801
BOKF,88.42
BOLT,1.18
BON,0.4436
BOOM,18.93
BOOT,86.57
BORR,6.895
BOSC,2.7299
BOTJ,10.6193
BOWL,13.84
BOWN,10.4
BOWNR,0.1101
BOX,28.44
BOXL,0.7673
BP,37.76
BPMC,90.1
BPOP,86.69
BPOPM,25.32
BPRN,31.26
BPT,2.38
BPTH,4.343
BPTS,0.3835
BPYPM,14.67
BPYPN,12.94
BPYPO,14.3508
BPYPP,14.5814
BQ,0.2649
BR,205.6
BRAG,5.15
BRBR,62.055
BRBS,2.58
BRC,58.63
BRCC,4.46
BRDG,6.78
BREA,1.75
BREZ,11.6501
BREZR,0.1533
BREZW,0.6
BRFH,1.107
BRFS,3.4
BRID,11.0845
BRK/A,627305.0
BRK/B,415.1612
BRKH,10.975
BRKHW,0.1749
BRKL,9.675
BRKR,94.53
BRLS,6.04
BRLSW,0.136
BRLT,3.13
BRN,2.35
BRNS,2.45
BRO,86.28
BROG,2.31
BROGW,0.0149
BROS,35.85
BRP,29.85
BRSH,0.0551
BRSHW,0.012
BRSP,6.935
BRT,16.59
BRTX,1.35
BRW,7.21
BRX,23.105
BRY,7.794
BRZE,54.54
BSAC,19.66
BSBK,7.16
BSBR,5.6697
BSET,15.29
BSFC,0.095
BSGM,0.5296
BSIG,22.69
BSL,14.435
BSM,15.74
BSRR,18.96
BST,36.71
BSTZ,18.655
BSVN,27.51
BSX,67.77
BSY,51.99
BTA,10.0901
BTAI,2.88
BTBD,1.67
BTBDW,0.09
BTBT,2.594
BTCM,2.99
BTCS,1.3026
BTCT,3.27
BTCTW,0.0351
BTCY,1.51
BTDR,7.82
BTE,3.525
BTG,2.535
BTI,30.155
BTM,2.655
BTMD,6.395
BTMWW,0.13
BTO,28.17
BTOG,5.65
BTSG,9.22
BTSGU,39.035
BTT,21.01
BTTR,6.6639
BTU,24.56
BTZ,10.695
BUD,59.66
BUI,21.4099
BUJA,10.5
BUJAR,0.25
BUJAW,0.0434
BUR,15.005
BURL,229.91
BURU,0.1459
BUSE,23.42
BV,11.1
BVFL,10.8701
BVN,17.09
BVS,5.49
BW,1.0704
BW^A,9.4
BWA,33.105
BWAQ,11.17
BWAQR,0.2
BWAQW,0.098
BWAY,5.8801
BWB,11.65
BWBBP,17.59
BWEN,2.415
BWFG,25.5
BWG,8.54
BWMN,41.88
BWMX,18.91
BWNB,12.25
BWSN,14.5215
BWXT,101.635
BX,131.6348
BXC,130.44
BXMT,20.22
BXMX,13.1032
BXP,65.82
BXSL,30.775
BY,20.93
BYD,63.8675
BYFC,6.15
BYM,11.52
BYND,8.15
BYNO,11.08
BYON,34.63
BYRN,13.74
BYSI,2.96
BYU,1.369
BZ,18.96
BZFD,0.3866
BZFDW,0.0657
BZH,32.05
BZUN,2.3791
C,61.06
C^J,24.975
C^N,29.48
CAAP,15.73
CAAS,3.46
CABA,17.91
CABO,440.57
CAC,32.47
CACC,573.49
CACI,370.58
CACO,0.6199
CADE,28.61
CADE^A,20.6371
CADL,1.45
CAE,20.335
CAF,12.0
CAG,28.895
CAH,111.8
CAKE,35.72
CAL,41.22
CALB,22.13
CALC,3.63
CALM,62.15
CALT,21.39
CALX,34.54
CAMP,2.9
CAMT,84.1401
CAN,1.554
CANF,2.2
CANG,1.4998
CAPL,22.72
CAPR,6.94
CAPT,5.3799
CAPTW,0.1164
CAR,115.73
CARA,0.9075
CARE,12.84
CARG,23.3
CARM,2.52
CARR,60.0
CARS,16.93
CART,38.31
CARV,1.6
CASA,0.3044
CASH,50.3
CASI,3.05
CASS,46.93
CASY,317.09
CAT,363.57
CATC,66.01
CATO,5.7753
CATX,1.35
CATY,38.6
CAUD,0.745
CAVA,68.6
CB,256.503
CBAN,11.19
CBAT,1.035
CBAY,32.48
CBD,0.6453
CBFV,21.74
CBH,8.8
CBL,22.43
CBNK,20.7
CBOE,183.945
CBRE,97.505
CBRG,11.19
CBRL,66.685
CBSH,51.6
CBT,90.45
CBU,46.08
CBUS,18.54
CBZ,78.4
CC,27.41
CCAP,17.59
CCB,38.95
CCBG,27.8
CCCC,8.975
CCCS,12.03
CCD,22.38
CCEL,5.72
CCEP,71.46
CCG,4.53
CCGWW,0.08
CCI,103.65
CCIA,25.5
CCIF,7.895
CCJ,42.8401
CCK,77.4
CCL,16.985
CCLD,1.14
CCLDO,5.9499
CCLDP,5.98
CCLP,2.31
CCM,0.43
CCNE,20.33
CCNEP,23.18
CCO,1.57
CCOI,62.84
CCRD,10.96
CCRN,18.735
CCS,91.72
CCSI,14.49
CCTG,3.12
CCTS,11.0
CCU,12.0
CDAQ,10.68
CDE,3.41
CDIO,1.52
CDIOW,0.1104
CDLR,17.11
CDLX,15.54
CDMO,7.1
CDNA,10.04
CDNS,327.01
CDP,24.25
CDR^B,16.28
CDR^C,13.9749
CDRE,34.61
CDRO,6.94
CDROW,0.4504
CDT,3.29
CDTTW,0.0425
CDTX,0.8
CDW,254.31
CDXC,2.99
CDXS,3.54
CDZI,2.57
CDZIP,14.0
CE,166.905
CEAD,0.57
CEADW,0.0078
CECO,22.95
CEE,9.4
CEG,173.7
CEI,0.1945
CEIX,85.09
CELC,17.89
CELH,92.7
CELU,5.16
CELUW,0.0411
CELZ,5.19
CEM,44.86
CENN,1.43
CENT,43.35
CENTA,37.32
CENX,12.665
CEPU,9.51
CERE,42.335
CERO,2.1601
CEROW,0.0782
CERS,1.96
CERT,17.85
CET,40.75
CETU,10.57
CETUR,0.19
CETUW,0.0171
CETX,4.42
CETY,0.95
CEV,10.5
CEVA,23.52
CF,86.21
CFB,13.46
CFBK,20.19
CFFI,49.05
CFFN,5.81
CFFS,10.97
CFFSW,0.12
CFG,35.5696
CFG^D,25.1899
CFG^E,21.6737
CFLT,32.45
CFR,107.915
CFR^B,19.46
CFSB,7.6
CG,47.0
CGA,3.0593
CGABL,20.04
CGAU,5.795
CGBD,16.38
CGBDL,25.66
CGC,4.42
CGEM,16.105
CGEN,2.725
CGNT,7.845
CGNX,41.8903
CGO,10.55
CGON,41.43
CGTX,1.9069
CHAA,10.17
CHCI,4.65
CHCO,103.55
CHCT,26.71
CHD,103.6
CHDN,119.01
CHE,643.4
CHEF,37.165
CHEK,1.932
CHGG,8.05
CHH,130.055
CHI,11.53
CHK,86.48
CHKEL,70.0
CHKEW,76.65
CHKEZ,72.86
CHKP,165.69
CHMG,42.43
CHMI,3.68
CHMI^A,22.6
CHMI^B,24.55
CHN,10.06
CHNR,1.235
CHPT,1.88
CHR,2.59
CHRD,171.465
CHRO,2.8
CHRS,2.55
CHRW,74.09
CHSCL,26.33
CHSCM,25.8889
CHSCN,26.81
CHSCO,27.3631
CHSCP,31.9783
CHSN,1.685
CHT,38.54
CHTR,295.325
CHUY,34.69
CHW,6.53
CHWY,16.675
CHX,34.55
CHY,12.0799
CI,353.43
CIA,2.1
CIB,34.15
CIEN,50.52
CIF,1.7201
CIFR,4.795
CIFRW,1.37
CIG,2.365
CIGI,123.3801
CII,19.515
CIK,3.01
CIM,4.56
CIM^A,21.31
CIM^B,24.475
CIM^C,20.74
CIM^D,24.02
CINF,118.775
CING,1.09
CINGW,0.0211
CINT,4.26
CIO,4.815
CIO^A,18.5406
CION,10.55
CISO,1.225
CISS,0.0291
CITE,11.09
CITEW,0.0869
CIVB,14.95
CIVI,75.26
CIX,38.01
CJET,0.5099
CJJD,3.18
CKPT,1.9
CKX,13.2619
CL,88.8
CLAR,7.03
CLB,16.7282
CLBK,16.585
CLBR,10.25
CLBT,11.675
CLBTW,2.44
CLCO,11.28
CLDI,0.63
CLDT,10.21
CLDT^A,22.0
CLDX,41.89
CLEU,1.1801
CLF,21.465
CLFD,30.03
CLGN,5.02
CLH,196.91
CLIR,0.9702
CLLS,2.5342
CLM,7.3697
CLMB,70.0001
CLMT,14.67
CLNE,2.5762
CLNN,0.4112
CLNNW,0.06
CLOE,12.1401
CLOV,0.8802
CLPR,4.49
CLPS,1.02
CLPT,6.865
CLRB,3.87
CLRC,11.23
CLRCR,0.0995
CLRO,1.839
CLS,47.04
CLSD,1.778
CLSK,20.6508
CLST,12.02
CLVR,3.6999
CLVRW,0.0351
CLVT,7.38
CLVT^A,29.91
CLW,42.11
CLWT,1.4262
CLX,147.31
CM,50.67
CMA,52.88
CMAX,6.365
CMAXW,0.0372
CMBM,4.66
CMC,59.07
CMCA,11.01
CMCL,10.855
CMCM,2.3
CMCO,43.16
CMCSA,42.705
CMCT,3.64
CME,215.7925
CMG,2914.48
CMI,293.71
CMLS,3.525
CMMB,0.7651
CMND,1.211
CMP,17.64
CMPO,6.895
CMPOW,0.5694
CMPR,93.42
CMPS,9.555
CMPX,2.19
CMRE,11.33
CMRE^B,25.3891
CMRE^C,25.7
CMRE^D,26.3
CMRE^E,26.52
CMRX,0.955
CMS,58.91
CMS^B,80.52
CMS^C,20.78
CMSA,24.8701
CMSC,25.35
CMSD,25.17
CMT,19.8272
CMTG,9.83
CMTL,3.27
CMU,3.31
CNA,43.89
CNC,77.05
CNDA,10.5125
CNDB,12.24
CNDT,3.3725
CNET,0.87
CNEY,1.06
CNF,2.15
CNFR,1.11
CNFRZ,13.03
CNHI,12.805
CNI,133.58
CNK,17.82
CNM,57.27
CNMD,75.68
CNNE,22.56
CNO,26.99
CNO^A,22.14
CNOB,19.45
CNOBP,19.935
CNP,28.12
CNQ,74.38
CNS,76.13
CNSL,4.325
